"SourceFile","RawLink","Reason","Candidates"
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\01-Quality-Manual\qms-man-001-qms-manual.html","../04-SOPs/sop-qms-021-human-factors-error-prevention.html","basename-not-found",
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\01-Quality-Manual\qms-man-001-qms-manual.html","../04-SOPs/sop-qms-022-customer-property-control.html","basename-not-found",
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\01-Quality-Manual\qms-man-001-qms-manual.html","../04-SOPs/sop-qms-023-competence-training-awareness.html","basename-not-found",
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\01-Quality-Manual\qms-man-001-qms-manual.html","../04-SOPs/sop-qms-024-organizational-knowledge-management.html","basename-not-found",
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\01-Quality-Manual\qms-man-001-qms-manual.html","../05-Processes/01-PROC-CNC/proc-cnc-001-cnc-machining-execution.html","basename-not-found",
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\01-Quality-Manual\qms-man-001-qms-manual.html","../05-Processes/01-PROC-CNC/proc-cnc-002-program-setup-release-control.html","basename-not-found",
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\01-Quality-Manual\qms-man-001-qms-manual.html","../05-Processes/11-PROC-QA/proc-qa-004-final-inspection-coc-release.html","basename-not-found",
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\01-Quality-Manual\qms-man-001-qms-manual.html","../05-Processes/11-PROC-QA/proc-qa-005-process-fmea-and-control-plan-execution.html","basename-not-found",
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\01-Quality-Manual\qms-man-001-qms-manual.html","../05-Processes/11-PROC-QA/proc-qa-006-material-traceability-flow.html","basename-not-found",
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\01-Quality-Manual\qms-man-001-qms-manual.html","../05-Processes/08-PROC-OPS/proc-ops-002-finishing-and-deburr.html","basename-not-found",
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\01-Quality-Manual\qms-man-001-qms-manual.html","../05-Processes/07-PROC-MNT/proc-mnt-003-crash-incident-response.html","basename-not-found",
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\01-Quality-Manual\qms-man-001-qms-manual.html","../05-Processes/07-PROC-MNT/proc-mnt-005-tool-life-management-and-replacement.html","basename-not-found",
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\01-Quality-Manual\qms-man-001-qms-manual.html","../05-Processes/12-PROC-SAL/proc-sal-002-warranty-rma-process.html","basename-not-found",
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\01-Quality-Manual\qms-man-001-qms-manual.html","../06-Work-Instructions/02-WI-OPS/wi-ops-001-quality-gates.html","basename-not-found",
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\01-Quality-Manual\qms-man-001-qms-manual.html","../06-Work-Instructions/01-WI-CNC/wi-cnc-001-machine-type-quick-reference.html","basename-not-found",
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\01-Quality-Manual\qms-man-001-qms-manual.html","../06-Work-Instructions/01-WI-CNC/wi-cnc-005-mill-turn-multitask-guide.html","basename-not-found",
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\01-Quality-Manual\qms-man-001-qms-manual.html","../06-Work-Instructions/02-WI-OPS/wi-ops-004-kpi-scoreboard.html","basename-not-found",
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\01-Quality-Manual\qms-man-001-qms-manual.html","../06-Work-Instructions/02-WI-OPS/wi-ops-014-shop-floor-environmental-monitoring.html","basename-not-found",
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\01-Quality-Manual\qms-man-001-qms-manual.html","../06-Work-Instructions/02-WI-OPS/wi-ops-015-setup-changeover-smed-standard-work.html","basename-not-found",
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\01-Quality-Manual\qms-man-001-qms-manual.html","../06-Work-Instructions/02-WI-OPS/wi-ops-017-job-packet-quick-check-card.html","basename-not-found",
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\01-Quality-Manual\qms-man-001-qms-manual.html","../07-Forms-Records/11-FRM-QA/frm-qa-001-contract-review.html","basename-not-found",
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\01-Quality-Manual\qms-man-001-qms-manual.html","../07-Forms-Records/11-FRM-QA/frm-qa-018-safety-critical-characteristics-register.html","basename-not-found",
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\01-Quality-Manual\qms-man-001-qms-manual.html","../07-Forms-Records/12-FRM-QMS/frm-qms-021-climate-context-decision-record.html","basename-not-found",
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\01-Quality-Manual\qms-man-001-qms-manual.html","../07-Forms-Records/12-FRM-QMS/frm-qms-025-interested-parties-register.html","basename-not-found",
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\01-Quality-Manual\qms-man-001-qms-manual.html","../07-Forms-Records/12-FRM-QMS/frm-qms-026-gage-equipment-inventory.html","basename-not-found",
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\01-Quality-Manual\qms-man-001-qms-manual.html","../07-Forms-Records/12-FRM-QMS/frm-qms-027-context-of-organization.html","basename-not-found",
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\01-Quality-Manual\qms-man-001-qms-manual.html","../07-Forms-Records/07-FRM-MNT/frm-mnt-002-crash-incident-report.html","basename-not-found",
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\01-Quality-Manual\qms-man-001-qms-manual.html","../07-Forms-Records/07-FRM-MNT/frm-mnt-005-machine-history-card.html","basename-not-found",
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\01-Quality-Manual\qms-man-001-qms-manual.html","../07-Forms-Records/12-FRM-QMS/frm-qms-023-customer-specific-requirements-register.html","basename-not-found",
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\01-Quality-Manual\qms-man-001-qms-manual.html","../07-Forms-Records/08-FRM-OPS/frm-ops-010-operational-risk-management-worksheet.html","basename-not-found",
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\01-Quality-Manual\qms-man-001-qms-manual.html","../07-Forms-Records/10-FRM-PUR/frm-pur-008-flowdown-requirements-checklist.html","basename-not-found",
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\01-Quality-Manual\qms-man-001-qms-manual.html","../07-Forms-Records/13-FRM-SAL/frm-sal-004-warranty-rma-tracking.html","basename-not-found",
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\01-Quality-Manual\qms-man-001-qms-manual.html","../09-Annexes-References/01-ANNEX-QMS/annex-qms-003-audit-evidence-pack-master.html","basename-not-found",
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\01-Quality-Manual\qms-man-001-qms-manual.html","../09-Annexes-References/01-ANNEX-QMS/annex-qms-016-climate-change-relevance-assessment.html","basename-not-found",
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\01-Quality-Manual\qms-man-001-qms-manual.html","../09-Annexes-References/01-ANNEX-QMS/annex-qms-017-fod-prevention-program.html","basename-not-found",
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\01-Quality-Manual\qms-man-001-qms-manual.html","../09-Annexes-References/01-ANNEX-QMS/annex-qms-024-semi-standards-and-csr-matrix.html","basename-not-found",
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\01-Quality-Manual\qms-man-001-qms-manual.html","../09-Annexes-References/01-ANNEX-QMS/annex-qms-019-m365-folder-structure-blueprint.html","basename-not-found",
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\01-Quality-Manual\qms-man-001-qms-manual.html","../09-Annexes-References/01-ANNEX-QMS/annex-qms-020-escalation-matrix-and-sla.html","basename-not-found",
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\01-Quality-Manual\qms-man-001-qms-manual.html","../09-Annexes-References/01-ANNEX-QMS/annex-qms-011-epicor-integration-pack.html","basename-not-found",
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\01-Quality-Manual\qms-man-001-qms-manual.html","../04-SOPs/sop-qms-011-data-governance.html","basename-not-found",
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\01-Quality-Manual\qms-man-001-qms-manual.html","../09-Annexes-References/01-ANNEX-QMS/annex-qms-005-m365-lists-and-field-mapping.html","basename-not-found",
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\01-Quality-Manual\qms-man-001-qms-manual.html","../09-Annexes-References/01-ANNEX-QMS/annex-qms-006-power-automate-flows-and-approvals-spec.html","basename-not-found",
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\01-Quality-Manual\qms-man-001-qms-manual.html","../09-Annexes-References/01-ANNEX-QMS/annex-qms-010-powerbi-deployment-pack.html","basename-not-found",
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\01-Quality-Manual\qms-man-001-qms-manual.html","../07-Forms-Records/12-FRM-QMS/frm-qms-014-access-matrix.html","basename-not-found",
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\01-Quality-Manual\qms-man-001-qms-manual.html","../07-Forms-Records/12-FRM-QMS/frm-qms-015-m365-configuration-checklist.html","basename-not-found",
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\01-Quality-Manual\qms-man-001-qms-manual.html","../08-Organization/03-Job-Descriptions","basename-not-found",
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\01-Quality-Manual\qms-man-001-qms-manual.html","../09-Annexes-References/01-ANNEX-QMS/annex-qms-001-process-map-detailed.html","basename-not-found",
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\01-Quality-Manual\qms-man-001-qms-manual.html","../05-Processes/02-PROC-ENG/proc-eng-002-engineering-release-and-baseline-package.html","basename-not-found",
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\01-Quality-Manual\qms-man-001-qms-manual.html","../07-Forms-Records/08-FRM-OPS/frm-ops-008-job-kickoff-checklist.html","basename-not-found",
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\01-Quality-Manual\qms-man-001-qms-manual.html","../04-SOPs/sop-qms-010-external-provider-control.html","basename-not-found",
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\01-Quality-Manual\qms-man-001-qms-manual.html","../07-Forms-Records/08-FRM-OPS/frm-ops-004-finishing-checklist.html","basename-not-found",
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\01-Quality-Manual\qms-man-001-qms-manual.html","../04-SOPs/sop-qms-013-measurement-system-management.html","basename-not-found",
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\01-Quality-Manual\qms-man-001-qms-manual.html","../05-Processes/13-PROC-WHS/proc-whs-002-packaging-and-labeling.html","basename-not-found",
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\01-Quality-Manual\qms-man-001-qms-manual.html","../06-Work-Instructions/02-WI-OPS/wi-ops-005-ship-release-pack.html","basename-not-found",
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\01-Quality-Manual\qms-man-001-qms-manual.html","../06-Work-Instructions/02-WI-OPS/wi-ops-010-gs1-sscc-shipping-label-and-pack-reconciliation.html","basename-not-found",
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\01-Quality-Manual\qms-man-001-qms-manual.html","../07-Forms-Records/11-FRM-QA/frm-qa-017-configuration-audit-checklist.html","basename-not-found",
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\01-Quality-Manual\qms-man-001-qms-manual.html","../05-Processes/12-PROC-SAL/proc-sal-001-customer-communication-and-feedback.html","basename-not-found",
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\01-Quality-Manual\qms-man-001-qms-manual.html","../04-SOPs/sop-qms-012-customer-complaint-escape-containment.html","basename-not-found",
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\01-Quality-Manual\qms-man-001-qms-manual.html","../04-SOPs/sop-qms-007-calibration.html","basename-not-found",
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\01-Quality-Manual\qms-man-001-qms-manual.html","../05-Processes/07-PROC-MNT/proc-mnt-004-gage-handling-and-verification-gates.html","basename-not-found",
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\01-Quality-Manual\qms-man-001-qms-manual.html","../05-Processes/07-PROC-MNT/proc-mnt-002-preventive-maintenance-workflow.html","basename-not-found",
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\01-Quality-Manual\qms-man-001-qms-manual.html","../04-SOPs/sop-qms-015-contingency-operation-plan.html","basename-not-found",
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\01-Quality-Manual\qms-man-001-qms-manual.html","../05-Processes/04-PROC-HR/proc-hr-001-competency-and-training-administration.html","basename-not-found",
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\01-Quality-Manual\qms-man-001-qms-manual.html","../04-SOPs/sop-qms-004-internal-audit.html","basename-not-found",
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\01-Quality-Manual\qms-man-001-qms-manual.html","../05-Processes/11-PROC-QA/proc-qa-002-layered-process-audit.html","basename-not-found",
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\01-Quality-Manual\qms-man-001-qms-manual.html","../07-Forms-Records/12-FRM-QMS/frm-qms-002-internal-audit-checklist.html","basename-not-found",
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\01-Quality-Manual\qms-man-001-qms-manual.html","../04-SOPs/sop-qms-005-management-review.html","basename-not-found",
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\01-Quality-Manual\qms-man-001-qms-manual.html","../07-Forms-Records/12-FRM-QMS/frm-qms-003-management-review-minutes.html","basename-not-found",
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\01-Quality-Manual\qms-man-001-qms-manual.html","../04-SOPs/sop-qms-020-continual-improvement-and-kaizen.html","basename-not-found",
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\01-Quality-Manual\qms-man-001-qms-manual.html","../07-Forms-Records/08-FRM-OPS/frm-ops-009-a3-pdca-problem-solving-form.html","basename-not-found",
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\01-Quality-Manual\qms-man-001-qms-manual.html","../07-Forms-Records/01-FRM-CNC/frm-cnc-001-cnc-setup-and-first-piece-verification.html","basename-not-found",
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\01-Quality-Manual\qms-man-001-qms-manual.html","../07-Forms-Records/11-FRM-QA/frm-qa-007-fai-report.html","basename-not-found",
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\01-Quality-Manual\qms-man-001-qms-manual.html","../07-Forms-Records/08-FRM-OPS/frm-ops-003-tool-life-log.html","basename-not-found",
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\01-Quality-Manual\qms-man-001-qms-manual.html","../07-Forms-Records/11-FRM-QA/frm-qa-014-spc-capability-log.html","basename-not-found",
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\01-Quality-Manual\qms-man-001-qms-manual.html","../07-Forms-Records/11-FRM-QA/frm-qa-002-inspection-report.html","basename-not-found",
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\01-Quality-Manual\qms-man-001-qms-manual.html","../07-Forms-Records/11-FRM-QA/frm-qa-009-aql-sampling-record.html","basename-not-found",
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\01-Quality-Manual\qms-man-001-qms-manual.html","../07-Forms-Records/11-FRM-QA/frm-qa-011-final-inspection-coc-issue-log.html","basename-not-found",
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\01-Quality-Manual\qms-man-001-qms-manual.html","../07-Forms-Records/12-FRM-QMS/frm-qms-005-risk-register.html","basename-not-found",
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\01-Quality-Manual\qms-man-001-qms-manual.html","../07-Forms-Records/11-FRM-QA/frm-qa-012-control-plan.html","basename-not-found",
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\01-Quality-Manual\qms-man-001-qms-manual.html","../07-Forms-Records/12-FRM-QMS/frm-qms-006-change-impact-matrix.html","basename-not-found",
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\01-Quality-Manual\qms-man-001-qms-manual.html","../07-Forms-Records/10-FRM-PUR/frm-pur-002-supplier-evaluation.html","basename-not-found",
