"Missing","MissingUrl","Count","Candidate","CandidatePath","Score","Common"
"annex-qms-016-climate-change-relevance-assessment.html","../09-Annexes-References/01-ANNEX-QMS/annex-qms-016-climate-change-relevance-assessment.html","3","ref-007-climate-change-assessment.html","C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\03-Reference\02-ANNEX-Standards\ref-007-climate-change-assessment.html","0.75","climate change assessment"
"frm-qa-018-safety-critical-characteristics-register.html","../07-Forms-Records/11-FRM-QA/frm-qa-018-safety-critical-characteristics-register.html","3","frm-643-safety-special-characteristics-register.html","C:\Users\TEST4\qms.hesem.com.vn\04-Bieu-Mau\06-FRM-600\frm-643-safety-special-characteristics-register.html","0.75","safety characteristics register"
"annex-qms-016-climate-change-relevance-assessment.html","../09-Annexes-References/01-ANNEX-QMS/annex-qms-016-climate-change-relevance-assessment.html","3","frm-124-climate-change-assessment-record.html","C:\Users\TEST4\qms.hesem.com.vn\04-Bieu-Mau\01-FRM-100\frm-124-climate-change-assessment-record.html","0.75","climate change assessment"
"annex-qms-017-fod-prevention-program.html","../09-Annexes-References/01-ANNEX-QMS/annex-qms-017-fod-prevention-program.html","3","","C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\02-Work-Instructions\07-WI-700\","0.667","fod prevention"
"sop-qms-016-product-safety-and-conformity.html","../04-SOPs/sop-qms-016-product-safety-and-conformity.html","3","sop-703-product-safety-conformity-and-fod-prevention.html","C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\01-SOPs\07-SOP-700\sop-703-product-safety-conformity-and-fod-prevention.html","0.6","product safety conformity"
"sop-qms-012-customer-complaint-escape-containment.html","../../../04-SOPs/sop-qms-012-customer-complaint-escape-containment.html","3","sop-202-customer-complaint-feedback-rma-and-escape.html","C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\01-SOPs\02-SOP-200\sop-202-customer-complaint-feedback-rma-and-escape.html","0.6","customer complaint escape"
"frm-qms-014-access-matrix.html","../../../07-Forms-Records/12-FRM-QMS/frm-qms-014-access-matrix.html","3","annex-qms-025-authority-matrix.html","C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\03-Organization\04-RACI-Authority\annex-qms-025-authority-matrix.html","0.5","matrix"
"proc-qa-001-ipqc-reaction-plan.html","../../05-Processes/11-PROC-QA/proc-qa-001-ipqc-reaction-plan.html","3","sop-606-ncr-capa-and-ipqc-reaction.html","C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\01-SOPs\06-SOP-600\sop-606-ncr-capa-and-ipqc-reaction.html","0.5","ipqc reaction"
"frm-qms-014-access-matrix.html","../../../07-Forms-Records/12-FRM-QMS/frm-qms-014-access-matrix.html","3","frm-807-skill-matrix.html","C:\Users\TEST4\qms.hesem.com.vn\04-Bieu-Mau\08-FRM-800\frm-807-skill-matrix.html","0.5","matrix"
"frm-qms-014-access-matrix.html","../../../07-Forms-Records/12-FRM-QMS/frm-qms-014-access-matrix.html","3","authority-matrix.html","C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\03-Organization\04-RACI-Authority\authority-matrix.html","0.5","matrix"
