"MissingUrl","Count","MissingType","SuggestedBase","SuggestedPath","Score","Top2Score","Margin","Common"
"../09-Annexes-References/01-ANNEX-QMS/annex-qms-005-m365-lists-and-field-mapping.html","1","annex","ref-010-m365-lists-and-field-mapping.html","C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\03-Reference\03-ANNEX-Digital\ref-010-m365-lists-and-field-mapping.html","0.8","0","0.8","m365 lists field mapping"
"../../../07-Forms-Records/12-FRM-QMS/frm-qms-008-pilot-dry-run-log.html","1","frm","frm-106-pilot-run-log.html","C:\Users\TEST4\qms.hesem.com.vn\04-Bieu-Mau\01-FRM-100\frm-106-pilot-run-log.html","0.75","0","0.75","pilot run log"
"../07-Forms-Records/02-FRM-ENG/frm-eng-005-semiconductor-part-classification.html","1","frm","frm-304-semiconductor-part-classification.html","C:\Users\TEST4\qms.hesem.com.vn\04-Bieu-Mau\03-FRM-300\frm-304-semiconductor-part-classification.html","0.75","0","0.75","semiconductor part classification"
"../09-Annexes-References/01-ANNEX-QMS/annex-qms-001-process-map-detailed.html","1","annex","ref-001-detailed-process-map.html","C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\03-Reference\01-ANNEX-System\ref-001-detailed-process-map.html","0.75","0","0.75","process map detailed"
"../../../04-SOPs/sop-qms-009-first-article-inspection.html","1","sop","sop-302-first-article-inspection-fai.html","C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\01-SOPs\03-SOP-300\sop-302-first-article-inspection-fai.html","0.75","0","0.75","first article inspection"
"../07-Forms-Records/14-FRM-WHS/frm-whs-009-clean-packaging-checklist.html","1","frm","frm-709-clean-packaging-checklist.html","C:\Users\TEST4\qms.hesem.com.vn\04-Bieu-Mau\07-FRM-700\frm-709-clean-packaging-checklist.html","0.75","0.5","0.25","clean packaging checklist"
"../../../07-Forms-Records/04-FRM-HR/frm-hr-trn-006-certification-tracking-log.html","1","frm","frm-806-certification-tracking-log.html","C:\Users\TEST4\qms.hesem.com.vn\04-Bieu-Mau\08-FRM-800\frm-806-certification-tracking-log.html","0.75","0.5","0.25","certification tracking log"
"../../05-Processes/11-PROC-QA/proc-qa-003-aql-sampling-inspection-execution.html","1","proc","sop-603-aql-sampling-inspection.html","C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\01-SOPs\06-SOP-600\sop-603-aql-sampling-inspection.html","0.75","0","0.75","aql sampling inspection"
"../07-Forms-Records/11-FRM-QA/frm-qa-019-cleanliness-verification-record.html","1","frm","frm-711-cleanliness-verification-form.html","C:\Users\TEST4\qms.hesem.com.vn\04-Bieu-Mau\07-FRM-700\frm-711-cleanliness-verification-form.html","0.667","0","0.667","cleanliness verification"
"../09-Annexes-References/01-ANNEX-QMS/annex-qms-011-epicor-integration-pack.html","1","annex","ref-013-epicor-integration.html","C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\03-Reference\03-ANNEX-Digital\ref-013-epicor-integration.html","0.667","0","0.667","epicor integration"
"../04-SOPs/sop-qms-015-contingency-operation-plan.html","1","sop","sop-108-operational-contingency-plan.html","C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\01-SOPs\01-SOP-100\sop-108-operational-contingency-plan.html","0.667","0","0.667","contingency plan"
"../../07-Forms-Records/03-FRM-FIN/frm-fin-001-invoice-request.html","1","frm","frm-821-invoice-request.html","C:\Users\TEST4\qms.hesem.com.vn\04-Bieu-Mau\08-FRM-800\frm-821-invoice-request.html","0.667","0","0.667","invoice request"
"../../04-SOPs/sop-qms-023-competence-training-awareness.html","1","sop","sop-801-competence-training-and-certification.html","C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\01-SOPs\08-SOP-800\sop-801-competence-training-and-certification.html","0.667","0","0.667","competence training"
"../07-Forms-Records/11-FRM-QA/frm-qa-009-aql-sampling-record.html","1","frm","frm-621-aql-inspection-record.html","C:\Users\TEST4\qms.hesem.com.vn\04-Bieu-Mau\06-FRM-600\frm-621-aql-inspection-record.html","0.667","0","0.667","aql record"
"../../../09-Annexes-References/01-ANNEX-QMS/annex-qms-011-epicor-integration-pack.html","1","annex","ref-013-epicor-integration.html","C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\03-Reference\03-ANNEX-Digital\ref-013-epicor-integration.html","0.667","0","0.667","epicor integration"
"../../../07-Forms-Records/14-FRM-WHS/frm-whs-006-shipping-label.html","1","frm","frm-706-shipping-label.html","C:\Users\TEST4\qms.hesem.com.vn\04-Bieu-Mau\07-FRM-700\frm-706-shipping-label.html","0.667","0","0.667","shipping label"
"../../../07-Forms-Records/04-FRM-HR/frm-hr-trn-001-training-plan.html","1","frm","frm-801-training-plan.html","C:\Users\TEST4\qms.hesem.com.vn\04-Bieu-Mau\08-FRM-800\frm-801-training-plan.html","0.667","0","0.667","training plan"
"../../../09-Annexes-References/01-ANNEX-QMS/annex-qms-017-fod-prevention-program.html","1","annex","","C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\02-Work-Instructions\07-WI-700\","0.667","0","0.667","fod prevention"
